"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","2002","Stratum_1"," [kg*km2/km2]",5096037.40642879,776740.611793298,0.222180905827769
"1","2003","Stratum_1"," [kg*km2/km2]",7955068.9779643,1147749.86530143,0.20925235765053
"1","2004","Stratum_1"," [kg*km2/km2]",3499411.41662314,411716.775929192,0.162833725040673
"1","2005","Stratum_1"," [kg*km2/km2]",9763639.43576622,1100666.47971258,0.162442244998752
"1","2006","Stratum_1"," [kg*km2/km2]",1902729.54751373,486271.56197002,0.375663499226968
"1","2007","Stratum_1"," [kg*km2/km2]",8852510.46999553,2316547.78960142,0.353001397034894
"1","2008","Stratum_1"," [kg*km2/km2]",1451990.93028898,365945.050089716,0.381853845907198
"1","2009","Stratum_1"," [kg*km2/km2]",1332972.14880392,277376.918117534,0.313667166651043
"1","2010","Stratum_1"," [kg*km2/km2]",1260209.78513303,411095.15586811,0.481784593024492
"1","2011","Stratum_1"," [kg*km2/km2]",989509.156334056,338434.458441223,0.523342752306521
"1","2012","Stratum_1"," [kg*km2/km2]",1026174.76996888,288605.364165141,0.39791099280999
"1","2013","Stratum_1"," [kg*km2/km2]",7211841.77710056,782899.15554837,0.153158728757873
"1","2014","Stratum_1"," [kg*km2/km2]",12788742.0084348,1787165.89543492,0.200496538303812
"1","2015","Stratum_1"," [kg*km2/km2]",7253486.30068529,785049.274515067,0.15299261705713
"1","2016","Stratum_1"," [kg*km2/km2]",6507273.91697246,819566.901514515,0.193117957190794
"1","2017","Stratum_1"," [kg*km2/km2]",7310476.98225539,788849.084729243,0.152607977685216
"1","2018","Stratum_1"," [kg*km2/km2]",19908901.4437773,4522473.08977688,0.362894027224629
