Year,Age0pollock,Amphipods,Arrowworm,Calanus,Euphausiids,Fish,Largecopepods,Other,Othercrustaceans,Pteropods,Smallcopepods
2003,65.29,1.30,0.26,0.69,19.91,9.47,0.79,1.74,0.00,0.49,0.06
2004,62.81,0.33,0.67,0.00,6.52,27.32,1.30,0.20,0.17,0.68,0.01
2005,78.96,1.92,0.11,0.04,0.92,3.50,4.16,1.40,1.35,6.85,0.79
2006,85.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.94,5.93,0.00
2007,1.18,9.93,2.38,1.06,52.10,24.83,3.40,0.03,2.64,2.35,0.09
2008,1.13,0.09,38.07,1.34,28.24,20.69,0.00,0.00,0.27,10.17,0.00
2009,0.00,22.90,15.00,1.47,21.08,28.30,0.06,1.88,0.00,9.31,0.00
2010,0.00,11.59,3.34,11.11,57.26,10.26,0.26,0.00,0.11,6.07,0.00
2011,0.00,12.20,1.87,24.55,9.63,43.48,1.72,0.00,6.54,0.00,0.00
2012,0.83,24.32,10.18,9.19,32.21,12.61,4.17,0.00,5.78,0.69,0.00
2014,0.00,0.36,0.00,0.25,9.12,82.68,0.00,0.00,4.95,2.64,0.00
2015,22.70,0.09,0.00,0.00,0.01,54.79,0.00,4.38,6.69,11.34,0.00
2016,50.06,0.79,0.18,9.17,5.88,16.39,0.23,2.02,12.15,3.13,0.00
2018,73.49,0.13,0.44,0.11,17.72,0.99,0.00,0.00,7.13,0.00,0.00
