V1,V2,V3
-180,72,-37.8974952697754
-179.832786885246,72,-37.8774948120117
-179.665573770492,72,-36.5474967956543
-179.498360655738,72,-36.3974952697754
-179.331147540984,72,-37.8874969482422
-179.16393442623,72,-38.7174949645996
-178.996721311475,72,-39.3824920654297
-178.829508196721,72,-39.9724922180176
-178.662295081967,72,-39.8024940490723
-178.495081967213,72,-39.982494354248
-178.327868852459,72,-39.2624931335449
-178.160655737705,72,-38.8524932861328
-177.993442622951,72,-38.5024948120117
-177.826229508197,72,-38.2149963378906
-177.659016393443,72,-38.9749984741211
-177.491803278689,72,-38.9949989318848
-177.324590163934,72,-40.004997253418
-177.15737704918,72,-40.7649955749512
-176.990163934426,72,-45.254997253418
-176.822950819672,72,-47.4049911499023
-176.655737704918,72,-48.0649909973145
-176.488524590164,72,-49.3949928283691
-176.32131147541,72,-54.5949935913086
-176.154098360656,72,-56.0549926757812
-175.986885245902,72,-60.7649917602539
-175.819672131148,72,-65.4249954223633
-175.652459016393,72,-70.4625015258789
-175.485245901639,72,-73.2724990844727
-175.318032786885,72,-75.5325012207031
-175.150819672131,72,-74.3024978637695
-174.983606557377,72,-69.0425033569336
-174.816393442623,72,-63.3925018310547
-174.649180327869,72,-58.7474975585938
-174.481967213115,72,-55.8675003051758
-174.314754098361,72,-51.8074989318848
-174.147540983607,72,-52.1875
-173.980327868852,72,-51.7574996948242
-173.813114754098,72,-52.2874984741211
-173.645901639344,72,-55.5749893188477
-173.47868852459,72,-56.1449890136719
-173.311475409836,72,-54.8549919128418
-173.144262295082,72,-54.3749923706055
-172.977049180328,72,-57.3549919128418
-172.809836065574,72,-56.0149917602539
-172.64262295082,72,-55.2549896240234
-172.475409836066,72,-55.1824951171875
-172.308196721311,72,-55.8724975585938
-172.140983606557,72,-56.4124984741211
-171.973770491803,72,-56.6024971008301
-171.806557377049,72,-56.2724952697754
-171.639344262295,72,-56.5924949645996
-171.472131147541,72,-56.7749977111816
-171.304918032787,72,-57.1949996948242
-171.137704918033,72,-56.8549995422363
-170.970491803279,72,-55.1650009155273
-170.803278688525,72,-55.8549995422363
-170.63606557377,72,-56.3849983215332
-170.468852459016,72,-56.7849998474121
-170.301639344262,72,-56.9449996948242
-170.134426229508,72,-56.4049987792969
-169.967213114754,72,-55.9449996948242
-169.8,72,-54.9749984741211
-169.632786885246,72,-52.6549987792969
-169.465573770492,72,-51.8449974060059
-169.298360655738,72,-50.8200035095215
-169.131147540984,72,-50.1300048828125
-168.96393442623,72,-50.7800025939941
-168.796721311475,72,-50.7500038146973
-168.629508196721,72,-52.3600044250488
-168.462295081967,72,-50.9000053405762
-168.295081967213,72,-50.8374977111816
-168.127868852459,72,-50.9174957275391
-167.960655737705,72,-50.877498626709
-167.793442622951,72,-50.9074974060059
-167.626229508197,72,-50.2674980163574
-167.459016393443,72,-50.0374984741211
-167.291803278689,72,-49.0574989318848
-167.124590163934,72,-48.5675048828125
-166.95737704918,72,-47.9475021362305
-166.790163934426,72,-46.7275047302246
-166.622950819672,72,-45.2975044250488
-166.455737704918,72,-46.4075050354004
-166.288524590164,72,-46.767505645752
-166.12131147541,72,-46.3549957275391
-165.954098360656,72,-47.0349960327148
-165.786885245902,72,-46.1649971008301
-165.619672131148,72,-43.2249984741211
-165.452459016393,72,-43.8349990844727
-165.285245901639,72,-42.4349975585938
